TRANDATE,Freq,Month,DayofWeek,Hour,Semester,NumSchoolWeek,IsHolidays,IsVacations,IsOpen,PrevFreq,LenStay,PrevFreq2,IsEvent,IsFinal,Year,Date
6/12/2012 19:00,214,12,Thursday,19,Fall,16,0,0,1,248,59.97948718,225,0,0,2012,6
6/12/2012 20:00,195,12,Thursday,20,Fall,16,0,0,1,214,55.73333333,248,0,0,2012,6
6/12/2012 21:00,162,12,Thursday,21,Fall,16,0,0,1,195,68.23913043,214,0,0,2012,6
6/12/2012 22:00,48,12,Thursday,22,Fall,16,0,0,1,162,62.86956522,195,0,0,2012,6
6/12/2012 23:00,2,12,Thursday,23,Fall,16,0,0,1,48,47,162,0,0,2012,6
7/12/2012 0:00,0,12,Friday,0,Fall,16,1,0,0,2,0,48,0,0,2012,7
7/12/2012 1:00,0,12,Friday,1,Fall,16,0,0,0,0,0,2,0,0,2012,7
7/12/2012 2:00,0,12,Friday,2,Fall,16,0,0,0,0,0,0,0,0,2012,7
7/12/2012 3:00,0,12,Friday,3,Fall,16,0,1,0,0,0,0,0,0,2012,7
7/12/2012 4:00,0,12,Friday,4,Fall,16,0,0,0,0,0,0,0,0,2012,7
7/12/2012 5:00,53,12,Friday,5,Fall,16,0,0,1,0,68,0,0,0,2012,7
7/12/2012 6:00,65,12,Friday,6,Fall,16,0,1,1,53,97.42465753,0,1,0,2012,7
7/12/2012 7:00,69,12,Friday,7,Fall,16,0,0,1,65,66.92361111,53,0,0,2012,7
7/12/2012 8:00,76,12,Friday,8,Fall,16,0,0,1,69,49.88288288,65,0,0,2012,7
7/12/2012 9:00,60,12,Friday,9,Fall,16,0,0,1,76,120.7173913,69,0,0,2012,7
7/12/2012 10:00,83,12,Friday,10,Fall,16,0,0,1,60,106.4615385,76,0,0,2012,7
7/12/2012 11:00,92,12,Friday,11,Fall,16,0,0,1,83,100.968,60,0,0,2012,7
7/12/2012 12:00,114,12,Friday,12,Fall,16,0,0,1,92,117.2117647,83,0,0,2012,7
7/12/2012 13:00,132,12,Friday,13,Fall,16,0,0,1,114,137.8357143,92,0,0,2012,7
7/12/2012 14:00,162,12,Friday,14,Fall,16,0,0,1,132,156.6848485,114,0,0,2012,7
7/12/2012 15:00,215,12,Friday,15,Fall,16,0,0,1,162,107.9467456,132,0,0,2012,7
7/12/2012 16:00,293,12,Friday,16,Fall,16,0,0,1,215,87.4787234,162,0,0,2012,7
7/12/2012 17:00,228,12,Friday,17,Fall,16,0,0,1,293,79.17180617,215,0,0,2012,7
7/12/2012 18:00,148,12,Friday,18,Fall,16,0,0,1,228,54.33802817,293,0,0,2012,7
7/12/2012 19:00,114,12,Friday,19,Fall,16,0,0,1,148,62.60869565,228,0,0,2012,7
7/12/2012 20:00,121,12,Friday,20,Fall,16,0,0,1,114,51.74305556,148,0,0,2012,7
7/12/2012 21:00,107,12,Friday,21,Fall,16,0,0,1,121,73.925,114,0,0,2012,7
7/12/2012 22:00,48,12,Friday,22,Fall,16,0,0,1,107,78,121,0,0,2012,7
7/12/2012 23:00,2,12,Friday,23,Fall,16,0,0,1,48,0,107,0,0,2012,7
8/12/2012 0:00,0,12,Saturday,0,Fall,16,0,0,0,2,0,48,0,0,2012,8
8/12/2012 1:00,0,12,Saturday,1,Fall,16,0,0,0,0,0,2,0,0,2012,8
8/12/2012 2:00,0,12,Saturday,2,Fall,16,0,0,0,0,0,0,0,0,2012,8
8/12/2012 3:00,0,12,Saturday,3,Fall,16,0,0,0,0,0,0,0,0,2012,8
8/12/2012 4:00,0,12,Saturday,4,Fall,16,0,0,0,0,0,0,0,0,2012,8
8/12/2012 5:00,0,12,Saturday,5,Fall,16,0,0,0,0,0,0,0,0,2012,8
8/12/2012 6:00,0,12,Saturday,6,Fall,16,0,0,0,0,0,0,0,0,2012,8
8/12/2012 7:00,0,12,Saturday,7,Fall,16,0,0,0,0,0,0,0,0,2012,8
8/12/2012 8:00,8,12,Saturday,8,Fall,16,0,0,0,0,0,0,0,0,2012,8
8/12/2012 9:00,108,12,Saturday,9,Fall,16,0,0,1,8,97.81188119,0,0,0,2012,8
8/12/2012 10:00,112,12,Saturday,10,Fall,16,0,0,1,108,70.10606061,8,0,0,2012,8
8/12/2012 11:00,109,12,Saturday,11,Fall,16,0,0,1,112,73.98473282,108,0,0,2012,8
8/12/2012 12:00,120,12,Saturday,12,Fall,16,0,0,1,109,110.3481481,112,0,0,2012,8
8/12/2012 13:00,161,12,Saturday,13,Fall,16,0,0,1,120,103.5555556,109,0,0,2012,8
8/12/2012 14:00,158,12,Saturday,14,Fall,16,0,0,1,161,85.23602484,120,0,0,2012,8
8/12/2012 15:00,201,12,Saturday,15,Fall,16,0,0,1,158,77.38461538,161,0,0,2012,8
8/12/2012 16:00,248,12,Saturday,16,Fall,16,0,0,1,201,81.95348837,158,0,0,2012,8
8/12/2012 17:00,221,12,Saturday,17,Fall,16,0,0,1,248,67.68686869,201,0,0,2012,8
8/12/2012 18:00,153,12,Saturday,18,Fall,16,0,0,1,221,49.47058824,248,0,0,2012,8
8/12/2012 19:00,117,12,Saturday,19,Fall,16,0,0,1,153,61.92592593,221,0,0,2012,8
8/12/2012 20:00,110,12,Saturday,20,Fall,16,0,0,1,117,71,153,0,0,2012,8
8/12/2012 21:00,83,12,Saturday,21,Fall,16,0,0,1,110,83.57894737,117,0,0,2012,8
8/12/2012 22:00,46,12,Saturday,22,Fall,16,0,0,1,83,61,110,0,0,2012,8
8/12/2012 23:00,3,12,Saturday,23,Fall,16,0,0,1,46,0,83,0,0,2012,8
9/12/2012 0:00,0,12,Sunday,0,Fall,16,0,0,0,3,0,46,0,0,2012,9
9/12/2012 1:00,0,12,Sunday,1,Fall,16,0,0,0,0,0,3,0,0,2012,9
9/12/2012 2:00,0,12,Sunday,2,Fall,16,0,0,0,0,0,0,0,0,2012,9
9/12/2012 3:00,0,12,Sunday,3,Fall,16,0,0,0,0,0,0,0,0,2012,9
9/12/2012 4:00,0,12,Sunday,4,Fall,16,0,0,0,0,0,0,0,0,2012,9
