Freq,IsOpen,IsHolidays,IsVacations,PrevFreq
32,1,0,0,0
36,1,0,0,32
65,1,0,0,36
76,1,0,0,65
132,1,0,0,76
125,1,0,0,132
127,1,0,0,125
164,1,0,0,127
202,1,0,0,164
178,1,0,0,202
297,1,0,0,178
296,1,0,0,297
249,1,0,0,296
205,1,0,0,249
202,1,0,0,205
167,1,0,0,202
90,1,0,0,167
47,1,0,0,90
3,1,0,0,47
0,0,0,0,3
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
38,0,0,0,0
133,1,0,0,38
147,1,0,0,133
131,1,0,0,147
152,1,0,0,131
162,1,0,0,152
173,1,0,0,162
239,1,0,0,173
317,1,0,0,239
211,1,0,0,317
175,1,0,0,211
150,1,0,0,175
118,1,0,0,150
121,1,0,0,118
41,1,0,0,121
0,1,0,0,41
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
18,0,0,0,0
147,1,0,0,18
132,1,0,0,147
278,1,0,0,132
447,1,0,0,278
376,1,0,0,447
228,1,0,0,376
233,1,0,0,228
183,1,0,0,233
185,1,0,0,183
215,1,0,0,185
296,1,0,0,215
249,1,0,0,296
122,1,0,0,249
31,1,0,0,122
5,1,0,0,31
0,0,0,0,5
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
85,1,0,0,0
121,1,0,0,85
149,1,0,0,121
121,1,0,0,149
122,1,0,0,121
112,1,0,0,122
132,1,0,0,112
162,1,0,0,132
215,1,0,0,162
296,1,0,0,215
487,1,0,0,296
471,1,0,0,487
576,1,0,0,471
456,1,0,0,576
493,1,0,0,456
422,1,0,0,493
202,1,0,0,422
48,1,0,0,202
1,1,0,0,48
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
93,1,0,0,0
126,1,0,0,93
146,1,0,0,126
86,1,0,0,146
89,1,0,0,86
132,1,0,0,89
143,1,0,0,132
133,1,0,0,143
152,1,0,0,133
207,1,0,0,152
376,1,0,0,207
512,1,0,0,376
509,1,0,0,512
421,1,0,0,509
486,1,0,0,421
393,1,0,0,486
211,1,0,0,393
42,1,0,0,211
1,1,0,0,42
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
70,1,0,0,0
154,1,0,0,70
130,1,0,0,154
115,1,0,0,130
89,1,0,0,115
108,1,0,0,89
116,1,0,0,108
157,1,0,0,116
135,1,0,0,157
196,1,0,0,135
400,1,0,0,196
392,1,0,0,400
398,1,0,0,392
337,1,0,0,398
348,1,0,0,337
229,1,0,0,348
184,1,0,0,229
58,1,0,0,184
2,1,0,0,58
0,0,0,0,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
83,1,0,0,0
120,1,0,0,83
114,1,0,0,120
76,1,0,0,114
67,1,0,0,76
123,1,0,0,67
136,1,0,0,123
130,1,0,0,136
159,1,0,0,130
179,1,0,0,159
267,1,0,0,179
457,1,0,0,267
568,1,0,0,457
350,1,0,0,568
348,1,0,0,350
364,1,0,0,348
199,1,0,0,364
50,1,0,0,199
7,1,0,0,50
0,0,0,0,7
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
66,1,0,0,0
95,1,0,0,66
124,1,0,0,95
81,1,0,0,124
94,1,0,0,81
89,1,0,0,94
110,1,0,0,89
127,1,0,0,110
126,1,0,0,127
229,1,0,0,126
347,1,0,0,229
437,1,0,0,347
422,1,0,0,437
335,1,0,0,422
244,1,0,0,335
194,1,0,0,244
121,1,0,0,194
41,1,0,0,121
15,1,0,0,41
0,0,0,0,15
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,0,0,0,0
4,0,0,0,2
23,0,0,0,4
137,1,0,0,23
133,1,0,0,137
125,1,0,0,133
165,1,0,0,125
149,1,0,0,165
172,1,0,0,149
206,1,0,0,172
242,1,0,0,206
205,1,0,0,242
224,1,0,0,205
183,1,0,0,224
185,1,0,0,183
143,1,0,0,185
26,1,0,0,143
1,1,0,0,26
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4,0,0,0,0
118,1,0,0,4
91,1,0,0,118
120,1,0,0,91
142,1,0,0,120
157,1,0,0,142
177,1,0,0,157
218,1,0,0,177
220,1,0,0,218
188,1,0,0,220
203,1,0,0,188
284,1,0,0,203
185,1,0,0,284
134,1,0,0,185
43,1,0,0,134
0,1,0,0,43
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
101,1,0,0,0
138,1,0,0,101
158,1,0,0,138
125,1,0,0,158
98,1,0,0,125
102,1,0,0,98
130,1,0,0,102
170,1,0,0,130
139,1,0,0,170
245,1,0,0,139
438,1,0,0,245
439,1,0,0,438
462,1,0,0,439
468,1,0,0,462
527,1,0,0,468
555,1,0,0,527
364,1,0,0,555
73,1,0,0,364
3,1,0,0,73
0,0,0,0,3
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
96,1,0,0,0
131,1,0,0,96
141,1,0,0,131
111,1,0,0,141
97,1,0,0,111
120,1,0,0,97
137,1,0,0,120
151,1,0,0,137
150,1,0,0,151
211,1,0,0,150
405,1,0,0,211
395,1,0,0,405
478,1,0,0,395
414,1,0,0,478
450,1,0,0,414
417,1,0,0,450
253,1,0,0,417
71,1,0,0,253
1,1,0,0,71
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
81,1,0,0,0
142,1,0,0,81
155,1,0,0,142
134,1,0,0,155
89,1,0,0,134
114,1,0,0,89
112,1,0,0,114
156,1,0,0,112
137,1,0,0,156
193,1,0,0,137
415,1,0,0,193
344,1,0,0,415
392,1,0,0,344
372,1,0,0,392
422,1,0,0,372
377,1,0,0,422
264,1,0,0,377
76,1,0,0,264
2,1,0,0,76
0,0,0,0,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
90,1,0,0,0
103,1,0,0,90
116,1,0,0,103
95,1,0,0,116
88,1,0,0,95
112,1,0,0,88
117,1,0,0,112
178,1,0,0,117
132,1,0,0,178
201,1,0,0,132
261,1,0,0,201
314,1,0,0,261
295,1,0,0,314
128,1,0,0,295
168,1,0,0,128
158,1,0,0,168
105,1,0,0,158
74,1,0,0,105
8,1,0,0,74
0,0,0,0,8
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
71,1,0,0,0
120,1,0,0,71
128,1,0,0,120
70,1,0,0,128
81,1,0,0,70
88,1,0,0,81
108,1,0,0,88
114,1,0,0,108
114,1,0,0,114
201,1,0,0,114
244,1,0,0,201
339,1,0,0,244
298,1,0,0,339
213,1,0,0,298
248,1,0,0,213
191,1,0,0,248
119,1,0,0,191
48,1,0,0,119
2,1,0,0,48
0,0,0,0,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
13,0,0,0,1
106,1,0,0,13
94,1,0,0,106
98,1,0,0,94
122,1,0,0,98
136,1,0,0,122
172,1,0,0,136
192,1,0,0,172
199,1,0,0,192
185,1,0,0,199
135,1,0,0,185
129,1,0,0,135
182,1,0,0,129
76,1,0,0,182
25,1,0,0,76
1,1,0,0,25
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6,0,0,0,0
69,1,0,0,6
54,1,0,0,69
74,1,0,0,54
125,1,0,0,74
129,1,0,0,125
143,1,0,0,129
176,1,0,0,143
175,1,0,0,176
194,1,0,0,175
221,1,0,0,194
181,1,0,0,221
131,1,0,0,181
121,1,0,0,131
32,1,0,0,121
4,1,0,0,32
0,0,1,0,4
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
23,1,1,0,0
20,1,1,0,23
24,1,1,0,20
33,1,1,0,24
66,1,1,0,33
107,1,1,0,66
102,1,1,0,107
155,1,1,0,102
158,1,1,0,155
224,1,1,0,158
198,1,1,0,224
222,1,1,0,198
214,1,1,0,222
217,1,1,0,214
220,1,1,0,217
250,1,1,0,220
191,1,1,0,250
49,1,1,0,191
1,1,1,0,49
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
61,1,0,0,0
136,1,0,0,61
99,1,0,0,136
90,1,0,0,99
85,1,0,0,90
79,1,0,0,85
133,1,0,0,79
154,1,0,0,133
159,1,0,0,154
218,1,0,0,159
315,1,0,0,218
376,1,0,0,315
328,1,0,0,376
322,1,0,0,328
411,1,0,0,322
422,1,0,0,411
293,1,0,0,422
89,1,0,0,293
2,1,0,0,89
0,0,0,0,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
80,1,0,0,0
160,1,0,0,80
156,1,0,0,160
92,1,0,0,156
105,1,0,0,92
108,1,0,0,105
133,1,0,0,108
157,1,0,0,133
125,1,0,0,157
222,1,0,0,125
402,1,0,0,222
375,1,0,0,402
330,1,0,0,375
302,1,0,0,330
397,1,0,0,302
426,1,0,0,397
330,1,0,0,426
94,1,0,0,330
0,1,0,0,94
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
82,1,0,0,0
91,1,0,0,82
115,1,0,0,91
100,1,0,0,115
105,1,0,0,100
124,1,0,0,105
156,1,0,0,124
155,1,0,0,156
184,1,0,0,155
245,1,0,0,184
274,1,0,0,245
358,1,0,0,274
351,1,0,0,358
335,1,0,0,351
322,1,0,0,335
278,1,0,0,322
271,1,0,0,278
86,1,0,0,271
6,1,0,0,86
0,0,0,0,6
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
83,1,0,0,0
134,1,0,0,83
108,1,0,0,134
87,1,0,0,108
95,1,0,0,87
91,1,0,0,95
112,1,0,0,91
108,1,0,0,112
151,1,0,0,108
185,1,0,0,151
363,1,0,0,185
355,1,0,0,363
339,1,0,0,355
298,1,0,0,339
246,1,0,0,298
199,1,0,0,246
168,1,0,0,199
56,1,0,0,168
6,1,0,0,56
0,0,0,0,6
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
32,0,0,0,0
111,1,0,0,32
48,1,0,0,111
40,1,0,0,48
35,1,0,0,40
36,1,0,0,35
64,1,0,0,36
72,1,0,0,64
129,1,0,0,72
160,1,0,0,129
147,1,0,0,160
187,1,0,0,147
142,1,0,0,187
115,1,0,0,142
72,1,0,0,115
4,1,0,0,72
0,0,0,0,4
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
1,0,0,0,1
120,1,0,0,1
78,1,0,0,120
116,1,0,0,78
69,1,0,0,116
76,1,0,0,69
114,1,0,0,76
141,1,0,0,114
137,1,0,0,141
218,1,0,0,137
197,1,0,0,218
232,1,0,0,197
267,1,0,0,232
166,1,0,0,267
76,1,0,0,166
0,1,0,0,76
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
73,1,0,0,0
118,1,0,0,73
148,1,0,0,118
93,1,0,0,148
88,1,0,0,93
98,1,0,0,88
107,1,0,0,98
120,1,0,0,107
152,1,0,0,120
182,1,0,0,152
345,1,0,0,182
251,1,0,0,345
282,1,0,0,251
264,1,0,0,282
402,1,0,0,264
361,1,0,0,402
310,1,0,0,361
102,1,0,0,310
0,1,0,0,102
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
81,1,0,0,0
112,1,0,0,81
118,1,0,0,112
95,1,0,0,118
92,1,0,0,95
115,1,0,0,92
127,1,0,0,115
131,1,0,0,127
158,1,0,0,131
160,1,0,0,158
301,1,0,0,160
317,1,0,0,301
325,1,0,0,317
261,1,0,0,325
366,1,0,0,261
262,1,0,0,366
289,1,0,0,262
88,1,0,0,289
0,1,0,0,88
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
66,1,0,0,0
116,1,0,0,66
